RLBWXYH,class
[275  99  68  30  17  10   2   0],text
[124  66  42  18  26   7   1   1],text
[129  57  43  31  19  12   1   1],text
[167 161  65  28  27   3   0   1],text
[41 24 16  3 27  2  0  2],non-text
[181 112  49  39  24   5   0   1],text
[54  4  6 10 27  5  5  2],non-text
[139 114  52  46  19   3   4   0],text
[207  69  60  49  15  12   1   0],text
[153 135  63  42  22   6   0   0],text
[237 169  79  43  13   5   1   0],text
[246 118  64  45  10  12   0   0],text
[133 108  58  26  34   8   0   0],text
[228 117  69  38  15   8   2   0],text
[160 168  69  30  21   3   4   0],text
[86 90 66 34 19  2  2  2],text
[47 18  7  0 33  4  0  2],non-text
[198 113  60  43  18   6   1   0],text
[18 19  7  2 14  6  2  3],non-text
[178 152  62  43  18   7   1   0],text
[129 108  66  39  18   5   1   1],text
[215 147  91  35  15   4   2   0],text
[223 136  62  32  14   7   3   0],text
[240  89  55  41  15  11   2   0],text
[123  86  39  23  23   8   5   0],text
[122 113  56  40  10   6   3   1],text
[205 193  64  40  19   4   2   0],text
[174 131  53  43  20   5   0   1],text
[203 118  52  22  41   3   0   0],text
[97 78 40 21 33  4  3  1],text
[114  86  44  25  27   5   4   0],text
[133 131  65  33  24   2   2   1],text
[ 12  15 105  79  23   0   1   0],text
[128  86  66  27  21   6   1   2],text
[39 17  7  6 17  4  6  3],non-text
[77 23 14 16 13 10  6  2],non-text
[117  76  59  28  20   8   1   2],text
[66 19 12 15 25 12  5  1],non-text
[59 67 11 16 19  8  4  1],text
[387 154  68  30  11   8   1   0],text
[173 162  57  30  16   4   4   0],text
[ 14  75 102  67  23   1   1   0],text
[179 105  51  27  25   6   1   1],text
[152 120  59  24  29   7   2   0],text
[ 17 135  87  64  10   0   1   1],text
[262 161  76  40  19   7   0   0],text
[179  92  67  30  21   5   2   1],text
[102  88  42  31  30   2   3   1],text
[254 107  71  39  27   2   1   0],text
[129  77  47  41  19   4   3   1],text
[219 115  69  29  18   4   3   0],text
[109 124  51  22  30   8   3   0],text
[11 70 62 70 31  0  1  0],text
[193 108  41  36  26   8   1   0],text
[17 30 34 27 67  0  0  0],non-text
[183 168  78  38   6   5   5   0],text
[200  96  85  38  16   3   3   0],text
[65 11  9  5 39  6  3  1],non-text
[111 101  57  25  19   3   5   0],text
[211  97  62  33  21   3   4   0],text
[299 143 108  29  15   5   0   0],text
[282 107  77  21  25   8   0   0],text
[232 147  70  46  14  10   0   0],text
[124  53  43  17  29   7   3   1],text
[200 160  81  31  15   6   2   0],text
[177 107  51  29  24   6   3   0],text
[183 103  52  44  29   3   0   0],text
[ 90 152  44  22  31   2   1   1],text
[169 108  67  31  14   4   2   2],text
[98 71 40 24 22  7  5  0],text
[23 21 31 52 38  0  0  2],non-text
[122 100  81  25  37   4   0   0],text
[145 113  69  22  28   3   3   0],text
[151 105  65  35  29   5   0   1],text
[148 170  97  38  10   2   4   0],text
[ 98 108  23  12  35   4   2   1],text
[193 156  40  27  22   6   3   0],text
[152  54  50  33  15  11   1   1],text
[199  93  68  34  13  13   1   0],text
[21 79 40 40 41  1  0  1],text
[264 156  51  29  32   0   1   0],text
[153 110  52  26  28   7   0   1],text
[153  93  69  28  21   4   5   0],text
[153  84  60  15  32   5   4   0],text
[65 28 17 11 23  9  2  2],non-text
[168 141  50  50  12   3   5   0],text
[129 102  26  27  24   3   1   3],text
[116  77  44  23  28   5   3   1],text
[144  66  62  26  33   1   1   2],text
[29 17 16 30 59  0  0  2],non-text
[183 158  56  35  17   5   3   0],text
[203  85  38  46  34   5   0   0],non-text
[145 132  85  42  13   1   2   1],text
[35 11  4  0 11  9  4  3],non-text
[160 118  74  53  15   7   0   0],non-text
[207 134  54  29  11   8   3   1],text
[155 102  74  33  16   8   3   0],text
[265 140  84  36   7   7   4   0],text
[109  62  39  13  27   5   2   2],text
[156 122  72  33  20   2   3   1],text
[135 141  89  38  17   6   1   0],text
[92 77 34 14 28  6  5  0],text
[160 151  46  18  29   8   1   0],text
[49 23 13 12 25  4  5  2],non-text
[103  58  26  21  20   6   6   1],text
[98 92 63 32 24  4  4  0],text
[43 32  5  9 28  1  1  2],text
[216 159  44  44  15   4   3   0],text
[99 24 20 10 13 12  6  1],non-text
[164 110  57  45  33   1   0   0],text
[138  80  77  41  18   5   1   1],text
[81 21 17 11 21 14  6  0],non-text
[134  93  61  36  19   4   3   1],text
[376 151  54  30   8  16   0   0],text
[187 153  73  36  20   5   1   0],text
[204 141  42  29  17   5   5   0],text
[ 16  75 115  49  16   0   0   2],text
[222 112  68  39   8   8   4   0],text
[70 45 30  8 27  5  5  1],text
[145 109  48  34  16   6   4   1],text
[137  75  51  24  27   5   4   0],text
[190 146  54  43  18   5   2   0],text
[169 102  67  32  25   8   0   0],text
[135  90  45  43  19   2   7   0],text
[131  76  36  40  16   5   4   1],text
[165 139  55  33  16   3   6   0],text
[310 181 100  25  10   9   0   0],text
[147 106  35  37  19  10   3   0],text
[274 106  58  41  15  10   1   0],text
[276 119  85  39  10  12   0   0],text
[192 104  66  29  23   6   0   1],text
[167 113  51  47  16  10   0   0],text
[143  73  36  24  27  12   1   1],text
[44 15  4 10 20  5  4  3],non-text
[147 138  66  44  18   5   1   0],text
[175 137  58  35  22   4   1   1],text
[187 129  35  24  30   7   0   1],text
[118  97  36  21  22   8   2   1],text
[ 5 10 12 46 52  0  0  2],non-text
[105  76  41  15  32   4   3   1],text
[45 11  4  0 16  4  7  4],non-text
[169 139  48  41  16   6   4   0],text
[135  75  42  36  29   6   4   0],text
[289 177  73  25  19   6   0   0],text
[208 120  47  40  20   6   3   0],text
[149 105  44  37  22   5   3   0],text
[ 12 106 142  13  26   0   2   0],text
[195 100  81  38  19   2   2   1],text
[304 157  58  39  19   2   2   0],text
[213 147  51  46  17   7   2   0],text
[239 166  57  36  22   7   0   0],text
[130 117  40  37  26   6   0   1],text
[140 104  63  31  15   8   1   1],text
[282 217  81  34   3  10   0   0],text
[132 111  45  51  26   2   2   0],text
[134 112  62  23  17   5   3   1],text
[198 107  71  30  22   4   3   0],text
[42 41  6 16 26  1  1  4],non-text
[329 213  92  34  13   6   0   0],text
[ 0  5  1 23 86  0  0  1],non-text
[ 13  78 105  59  25   0   1   0],text
[48 69 17 33 56  0  0  1],non-text
[72 23 15 12 20 12  3  2],non-text
[196 116  55  44  11   2   5   0],text
[109 129  61  30  26   1   5   0],text
[ 31 132 110  59  17   0   2   0],text
[215 148  52  34  16   4   3   1],text
[112  67  51  53  27   4   2   0],text
[174 107  75  43  20   2   1   1],text
[158  87  37  35  23   2   7   0],text
[112  82  74  36  18   8   3   0],non-text
[107  59  18  24  22  11   6   0],text
[ 9 30 94 74 20  0  2  0],text
[10 24 52 48 44  1  1  1],text
[45 40  5 23 49  3  1  0],non-text
[23  8  0  2  9  2  9  4],non-text
[206 113  75  35  15  10   0   0],text
[187  59  31  46  22   8   2   0],non-text
[161 102  57  39  27   6   1   0],text
[211 145  71  35  14   5   4   0],text
[104 117  65  41  17   1   3   1],text
[174 101  41  35  21   9   0   1],text
[91 61 49 45 18  5  3  1],text
[118  66  53  25  19   8   3   1],text
[199 133  52  26  23   5   3   0],text
[150 111  58  16  29   6   1   2],text
[291 127  63  13  28   5   0   1],text
[84 49 24 17 22 13  4  0],non-text
[256 134  84  31  10  11   1   0],text
[197 134  30  33  16   6   1   2],text
[88 56 41 34 21  4  3  2],text
[148  64  53  36  22   9   3   0],text
[154  74  42  25  22   6   3   1],text
[175 118  61  33  19   2   5   0],text
[239 149  90  16  23   4   2   0],text
[237  82  63  43  17   9   2   0],text
[13 45 59 36 43  2  0  1],text
[263 202  77  28  20   5   0   0],text
[290 151  80  33  15   8   0   0],text
[154 121  54  29  32   4   1   0],text
[76 25 17 24 26  8  5  2],non-text
[27  1  3  1 11  5  4  5],non-text
[279 100  75  29  14  12   1   0],text
[49 15  7 14 11  9  5  3],non-text
[174 144  63  33  21   5   3   0],text
[236  77  56  37  17  14   0   0],text
[75  8  9  3 27  7  5  3],non-text
[118 125  42  37  30   3   1   1],text
[287 231  71  32   7   6   3   0],text
[171  90  42  34  14  12   4   0],text
[55 11  1  2 27  7  7  0],non-text
[179 151  60  34  13   3   4   1],text
[139 102  61  23  28   6   1   1],text
[211 214  58  31  16   4   2   0],text
[162  92  69  29  21   5   3   0],text
[159 119  68  30  21   7   0   1],text
[177 100  57  23  21   7   1   1],text
[216 133  49  28  20   4   4   0],text
[230 123  56  30  26   3   0   1],text
[276 119  85  35  11  13   0   0],text
[215 152  99  25  21   4   0   0],text
[104 108  35  34  27   5   1   1],text
[25 24 36 13 40  0  2  1],non-text
[138  61  36  13  23   7   2   1],text
[ 13  74 155  69  13   0   1   0],text
[226 121  77  38  12   4   2   1],text
[112  87  39  23  20   6   1   3],text
[167 121  54  33  23   4   3   0],text
[188 191  91  34  15   3   0   1],text
[182 124  66  37  19   2   2   1],text
[100  58  34  17  29   7   3   1],text
[ 17 170  61  33  35   2   0   0],text
[105  89  44  32  19   7   5   0],text
[189 114  40  40  23   9   2   0],text
[240 153  52  49   8   9   2   0],text
[ 16 109 121  59  14   0   2   0],text
[150  79  79  20  27   5   2   1],text
[136 154  64  31  24   7   1   0],text
[173 138  40  30  30   2   1   1],non-text
[173 122  60  26  32   3   0   1],text
[149  84  64  29  21   4   3   2],text
[311 105  60  39  13  13   0   0],text
[87 31 29 27 24  4  5  2],non-text
[12 43 86 60 32  0  2  0],text
[101  56  37  20  22   7   3   1],text
[216  99  67  42   8  11   2   0],text
[180 174  69  34  12   7   2   0],text
[112  77  26  11  29   7   2   1],text
[176 132  51  48  16   4   4   0],text
[448 141  63  22   2  17   0   0],text
[175 200  54  47   8   0   7   0],text
[181 114  48  28  22   7   3   0],text
[155 107  58  35  25   2   2   1],text
[187 113  52  47  12   1   7   0],text
[99 25 13 23 28 15  4  0],non-text
[96 42 20 22 20  7  3  3],non-text
[285 124  66  40  13  13   0   0],text
[216 132  55  30  24   7   1   0],text
[165  92  62  33  14   9   1   1],text
[177 165  55  38  18   6   2   0],text
[13  0  9 29 78  0  0  1],non-text
[253  70  54  38  15  15   0   0],text
[138  56  45  33  25   4   3   1],text
[196 119  48  40  27   6   1   0],text
[268 154  72  39  12   8   2   0],text
[59 28 24 10 22  5  6  1],non-text
[188  82  45  21  22   8   3   0],text
[341 148  81  22  20   7   0   0],text
[137  77  56  41  17   4   5   0],text
[128 105 100  25  17   5   2   1],text
[129 100  62  22  41   3   0   0],text
[131  24  27  18  28   9   6   0],non-text
[ 21 125  97  48  20   0   2   0],text
[179  98  57  31  18   5   5   0],text
[181 154  49  33  20   9   1   0],text
[132  40  52  28  22   7   3   1],text
[161 109  65  25  23   1   1   2],text
[84 37 19 19 14  7  8  1],non-text
[32 43 50 32 42  1  0  1],text
[13 65 84 95 15  0  0  1],text
[103  82  35  16  25   4   5   1],text
[209 129 107  28  13   2   2   1],text
[241 142  82  39  10   9   2   0],text
[80 67 34 24 36  1  1  2],non-text
[184  99  48  44  15   7   4   0],text
[119  69  33  11  25   9   1   2],text
[169  86  68  26  30   6   2   0],text
[173 114  44  29  24   8   0   1],text
[156 103  75  33  27   0   3   1],text
[ 45 135 165  41  12   2   1   0],text
[153 113  35  28  23   5   3   1],text
[105  77  57  17  22   7   3   1],text
[208 119  80  32  18   1   5   0],text
[122  47  29  18  23   6   5   1],text
[128  87  58  26  17   9   2   1],text
[123  78  42  20  24  11   3   0],text
[ 14  36 132  80  14   0   1   0],text
[132  93  68  40  23   5   2   0],text
[128  70  53  29  24   7   4   0],text
[126  83  27  33  18  11   3   0],text
[175 126  64  31  27   4   2   0],text
[90 43 30 11 25  5  4  1],text
[127  67  41  28  22   7   2   2],text
[185 169  68  35  19   5   1   0],text
[102  32  26  38  24   3   5   1],non-text
[212 141  56  44   8   6   4   0],text
[241 146  34  54   9   2   1   2],text
[307 123  59  35  11  14   0   0],text
[83 58 34 51 45  3  0  0],non-text
[219 177  76  35  14   8   0   0],text
[268 123  92  33  25   3   0   0],text
[166 103  46  24  24  11   0   1],text
[300 117  77  41  13   9   0   0],text
[206 137 109  34  14   6   1   0],text
[ 2 76 92 76 15  1  0  1],text
[23 23 12 42 65  0  0  0],non-text
[113  82  47  33  27   5   3   0],text
[94 78 36 20 22  3  5  1],text
[125  78  48  35  32   5   2   0],non-text
[114  66  59  16  17   9   2   2],text
[219 159  44  43  13   7   3   0],text
[138  73  49  34  18   3   2   2],text
[166 114 106  37  16   2   2   0],text
[281 150  78  32  27   2   0   0],text
[141  92  60  29  25   8   2   0],text
[104  71  36  18  32   5   2   1],text
[114  71  47  35  34   5   0   1],text
[283 163  85  34  18   6   0   0],text
[217 174  51  40  19   7   1   0],text
[195 157  71  44  17   7   1   0],text
[211 129  58  47  18   3   0   1],text
[214  92  62  39  14   6   4   0],text
[60 46 29 75 25  0  0  2],text
[136  96  51  32  26   5   3   0],text
[ 31 109 127  71  18   0   1   0],text
[131  75  50  30  28   6   2   1],text
[179 140  67  38  18   8   1   0],text
[212 110  79  30  15   3   3   1],text
[308  84  44  32  12  16   1   0],text
[199 125  88  26  19   7   1   0],text
[229 142 122  26   6   3   4   0],text
[196 141  53  36  23   6   2   0],text
[  8  55 120  67  22   0   1   0],text
[164 111  51  35  28   2   1   1],text
[66 17  7 10 19  5  2  3],non-text
[165 118  67  40  21   5   1   0],text
[343 142  81  37  11   8   1   0],text
[155  82  75  14  25   9   3   0],text
[196 160  81  45   9   9   1   0],text
[194 160  98  17  27   5   0   0],text
[51  9  9  4 19  6 10  1],non-text
[10 10 68 98 23  1  1  0],non-text
[22  3  2  0 11  3  6  2],non-text
[136  44  23  17  55   0   0   0],non-text
[143  92  60  24  28   5   1   1],text
[170  53  42  30  28  13   1   0],text
[194 179  85  37  17   5   0   0],text
[ 44 106  91  67  19   0   2   0],text
[203 242  79  35   8   8   0   0],text
[210  71  64  31  16  14   0   1],text
[118  21  17  30  40   4   5   0],non-text
[121  73  25  10  29   8   2   1],text
[360 121  57  23   9  17   0   0],text
[165 125  69  46  28   1   0   0],text
[171  90  78  30  18   8   1   1],text
[398 219  56  13  23   3   1   0],text
[18 79 63 71 25  0  0  1],text
[ 12 121  95  64   7   0   1   2],text
[122  81  51  35  22   4   6   0],non-text
[144 161 104  20  19   6   1   0],text
[150 100  73  26  34   3   0   1],text
[30  6  8  3 12  1  4  5],non-text
[209 155  60  44  14   4   3   0],text
[151  71  51  25  26   6   2   1],text
[220 212  77  38  22   1   0   0],text
[145 113  64  26  28   6   1   0],text
[159  69  47  24  22   8   3   1],text
[189 122  55  43  13   5   4   0],text
[ 98 107  92  35  14   4   2   1],text
[20 18 38 20 62  0  0  0],non-text
[174 100  81  33  23   1   2   1],text
[236 157  73  40  23   2   0   0],text
[128  85  61  41  13   8   3   0],text
[281  97  53  26  12  17   1   0],text
[162 143  56  39  18   7   2   0],text
[158 119  57  29  25   4   3   0],text
[292  94  63  41  19  10   0   0],text
[218 101  47  21  35   6   1   0],text
[  9 143 134  57  11   2   1   0],text
[215 170  65  43  17   9   0   0],text
[242 160  47  39  13   9   1   0],text
[117  87  46  33  22   6   4   0],text
[247 122  43  33  22   7   1   0],text
[95 56 29 17 14  9  2  3],text
[161  88  43  36  18   7   4   0],text
[212 111  63  35  21   9   2   0],text
[145 128  53  42  13   5   2   1],text
[ 9 43 38 57 51  0  0  0],text
[101  66  45  23  29   4   1   2],text
[172 121  41  31  11   9   6   0],text
[169  77  55  19  24   8   2   1],text
[ 5 71 62 51 33  0  0  1],text
[  5  40 108  68  20   1   0   1],text
[186 170  89  36  15   2   3   0],text
[103  59  26  39  24   7   5   0],text
[108  67  20  15  25   8   3   1],text
[197 131  82  33  21   4   0   1],text
[114 135  68  31  24   8   1   0],text
[147  90  44  25  30   6   2   1],text
[181  66  46  36  20   6   0   2],text
[136  59  42  26  25   8   2   1],text
[134  90  63  19  31   6   2   0],text
[126  98  50  18  22   6   1   2],text
[196 148  80  43  12   4   3   0],text
[220 151  76  28  24   6   0   0],text
[62 43 23 17 37  1  1  1],non-text
[185 139  50  45  15   5   4   0],text
[111  59  49  26  26   6   4   0],text
[31 57 63 82 18  1  0  1],text
[87 66 34 21 32  5  1  1],text
[203 144  61  35  13   5   4   0],text
[97 99 56 27 30  6  2  0],text
[57 59 32 25 28  4  2  2],text
[ 72 157 137  22  20   1   2   0],text
[122  79  46  18  26   3   2   3],text
[32  8  6  0 14  4  4  5],non-text
[153  86  51  27  22  11   1   0],text
[148 111  48  28  22   6   4   0],text
[169 106  74  25  29   3   2   0],text
[226 157  64  46  13   6   2   0],text
[189 130  41  29  27   6   3   0],text
[160 119  64  37  16   5   3   1],text
[47 13  5 10 10 10  9  3],non-text
[165 129  86  32  19   4   1   1],text
[284 113  66  41  16   8   1   0],text
[353 151  79  46   7   6   1   0],text
[128  52  26  36  17   8   0   2],text
[ 33 108 155  38  21   2   0   0],text
[171 120  74  31  10   5   6   0],text
[118  47  37  23  27   6   3   2],text
[185 118  57  34  21   7   1   0],text
[144  89  33  23  34   4   1   1],text
[163  95  54  35  22   5   4   0],text
[95 57 27 15 25  2  4  2],text
[140  80  43  24  26   5   4   1],text
[39 46 11  6 51  0  1  1],non-text
[82 40 29 29 29  3  5  2],non-text
[110  46  34  28  20   4   5   2],non-text
[213 178  67  41  13   8   1   0],text
[222 161  60  35  22   6   1   0],text
[18 27 18 50 43  0  0  1],non-text
[ 41 140 164  38  10   0   3   0],text
[232 122  69  44  12   1   1   2],text
[191 196  92  34  14   5   1   0],text
[395 137  62  29   5  15   0   0],text
[124  84  23   8  29   9   1   1],text
[288 135  77  40   8  10   1   0],text
[192 119  61  22  25   2   3   1],text
[351 116  72  38  10  13   0   0],text
[115 115  48  23  38   2   1   1],text
[136  97  43  17  32   4   4   0],text
[244 157  60  26  24   5   1   0],text
[251 167  83  37  15   6   1   0],text
[194 164  54  43  17   4   3   0],text
[263 154  90  29   7  11   1   0],text
[188 142  95  35  13   4   1   1],text
[ 0 29 64 51 46  1  0  0],text
[244 209  36  41  17   6   1   0],text
[104  53  36  36  20   7   2   1],non-text
[259 104  72  33  13  13   1   0],text
[158 107  73  38  22   4   3   0],text
[242 159  60  46  17   2   3   0],text
[139  86  63  32  16   6   2   1],text
[125 137  65  27  28   6   1   0],text
[109  54  41  21  25   8   5   0],non-text
[178 140  70  38  24   3   2   0],text
[191 132  49  37  21   3   4   0],text
[228 102  69  28  23   5   1   1],text
[208 102  57  20  26   9   1   0],text
[256  96  37  47  18  13   0   0],text
[170 145  76  56  19   3   0   0],text
[327 108  53  21  13  16   1   0],text
[99 73 85 53 18  4  3  0],non-text
[128  81  19  14  26   8   1   2],text
[139  74  41  53  20   5   3   0],text
[226  83  67  34  15  10   2   0],text
[164  71  45  25  26   8   2   0],text
[189 148  51  35  15   7   4   0],text
[142 112  32  59  17  10   1   0],text
[107  93  46  37  26   7   2   0],text
[  5  66 132  57  23   1   1   0],text
[203 143  52  35  18  11   0   0],text
[111 123  46  26  38   3   1   0],text
[93 67 32  8 33  5  2  1],text
[147 133  57  28  35   7   0   0],text
[92 50 29  7 19  9  4  1],text
[121  80  35  33  25   5   2   1],text
[160 108  53  32  25   8   1   0],text
[105 104  71  36  29   5   1   0],text
[119 136  83  48  14   3   1   1],text
[271  90  65  36  11  13   1   0],text
[46 14 12  7 24  2  7  1],non-text
[47 52 23 15 27  3  2  2],text
[183 142  72  33  20   5   2   0],text
[76 19 12 15 17  8  2  4],non-text
[54 11  4 10 14 11  4  1],non-text
[ 9  5  4 54 63  0  0  0],non-text
[124 114  70  24  35   6   0   0],text
[ 29  86 126  62  19   0   1   0],text
[202 196  59  36   9   5   4   0],text
[135 127  42  39  21   1   6   0],text
[187  90  37  36  18   9   4   0],text
[117  56  33  14  21   8   2   2],text
[139  64  59  30  20  10   3   0],non-text
[329 163  50  20  31   5   0   0],text
[113  77  52  50  20   6   3   0],text
[164 109  78  27  28   2   3   0],text
[125  85  39  25  15  12   1   1],text
[114  82  61  40  22   6   2   0],text
[100  68  58  33  54   2   0   0],text
[126  92  45  43  18   9   2   0],text
[186  76  66  35  29   7   0   0],text
[21 57 68 77 26  1  0  1],text
[ 43 146  98  38  14   2   2   1],text
[199 140  66  36  24   4   2   0],text
[20 36 58 42 48  1  0  0],text
[246 139  91  31  14   0   4   0],text
[232 121  90  22  14   8   2   0],text
[147  69  52  44  28   4   3   0],non-text
[64 25 14 28 16  6  6  2],non-text
[230 198  64  40  11   2   4   0],text
[156  89  40  30  17  10   2   1],text
[151  78  41  30  28   6   2   1],text
[87 29 12 12 37  4  1  1],non-text
[196  82  46  28  24  12   1   0],text
[152 112  67  39  20   3   4   0],text
[213 211  73  44  12   6   0   0],text
[301 102  75  44  11   8   2   0],text
[111  19  35  19  55   1   1   0],non-text
[147 101  49  48  27   7   1   0],text
[188  91  63  32  23   3   2   1],text
[197 124 133  27  16   2   2   0],text
[93 99 61 27 13  3  6  1],text
[137  67  40  32  15  12   4   0],text
[126  78  32  34  28   6   3   0],text
[166  96  69  25  23   7   3   0],text
[225 193  89  22  20   4   1   0],text
[182 144  96  27  16   4   2   0],text
[121  79  39  20  35   4   2   1],text
[143 105  61  27  24   3   4   0],text
[263 109  65  38  17  11   0   0],text
[153  76  38  33  18   5   3   1],text
[334 140  69  30  17  11   0   0],text
[211 121  80  21  21   7   1   1],text
[150  47  45  30  29   7   3   0],text
[152 127  77  28  10   9   1   1],text
[188 123 105  31  16   6   1   0],text
[58  9 11  8 19  5  7  2],non-text
[116  75  52  20  26   8   4   0],non-text
[156 103  84  28  20   5   3   0],text
[296 135  76  24  13  13   0   0],text
[0 0 0 0 0 0 0 0],text
[83 35 27 19 19  7  0  3],non-text
[139  93  50  32  21   5   2   1],text
[134 117  59  31  24   5   3   0],text
[128  84  59  33  36   2   0   1],text
[291 129  84  34  11  12   0   0],text
[144  60  28  26  25   8   1   1],text
[189 122  60  45  18   5   3   0],text
[136  49  53  39  29   3   0   2],text
[225 199  61  36   5   7   3   0],text
[152  70  42  37  23   7   4   0],text
[193 105  62  41  17   5   4   0],text
[254 117  87  42  10  11   0   0],text
[148  82  33  22  27   8   1   1],text
[257 111  73  42  12  11   1   0],text
[207  76  58  35  19   9   3   0],text
[198 107  77  28  15   5   2   1],text
[264 154  82  33  16   8   0   0],text
[156 113  62  16  27   6   2   1],text
[163  90  53  30  15   9   2   1],text
[207 157  70  50  12   5   2   0],text
[136 109  57  49  16   5   3   0],text
[111 124  35  22  27   7   2   1],text
[127  75  40  18  21  10   3   1],text
[108  47  23  23  27   9   3   1],non-text
[116 125  54  25  32   7   2   0],text
[228 122  56  43  15  10   1   0],text
[117 147  34  30  24   3   3   1],text
[172 167  59  32  13   3   5   0],text
[110  85  32  23  24   4   2   2],text
[255  90  78  30  15  13   0   0],text
[127  87  61  24  33   4   2   1],text
[198 129  87  31  13  10   1   0],text
[219 153  70  31  14   4   4   0],text
[203 168  98  23  19   5   1   0],text
[116  63  40  14  28   8   4   0],text
[312 159  76  41  15   6   0   0],text
[129  80  48  23  27   5   3   1],text
[263 252  77  27  12   6   1   0],text
[129  89  44  39  17   7   4   0],text
[164 144  44  24  34   6   0   1],text
[221 119  78  26  12   6   2   1],text
[245 144  65  40  21   5   1   0],text
[137 183  78  28  26   2   1   0],text
[85 58 34 19 23  6  6  0],text
[170 157  69  31  22   4   2   0],text
[115 115  57  47  23   8   1   0],text
[132  60  44  29  33   5   1   1],text
[224 141  50  54  13   2   2   1],text
[148  82  52  40  18   6   2   1],text
[364 166  51  28  26   3   0   0],text
[40 75 46 68 15  3  0  2],text
[126  87  79  27  28   3   3   0],text
[178 108  60  31  20   3   2   1],text
[ 19 105  54  69  16   1   1   1],text
[ 22 111  52  73  13   0   0   2],text
[236 156  74  38  11   7   1   0],text
[ 45 173 123  28  27   1   0   0],text
[209 111  61  36  24   6   2   0],text
[56 79 91 60  8  0  1  3],text
[143  83  51  21  29   8   1   1],text
[197 156  56  34  17   4   5   0],text
[238 162  68  42   8  10   1   0],text
[195 157  76  19  22   5   3   0],text
[286 107  61  39  11  12   1   0],text
[328 101  74  33  11  13   1   0],text
[48 33  7 31 41  0  2  1],non-text
[202 139  74  30  32   4   0   0],text
[74 40 41 18 17  8  2  3],text
[171 131  55  56  22   3   1   0],non-text
[100  63  49  32  18   6   4   1],text
[172  86  55  44  32   4   0   0],non-text
[193 111  90  32  19   4   1   1],text
[215 120  53  16  35   6   1   0],text
[193 124  75  26  22   4   3   0],text
[139  73  47  13  26   7   2   2],text
[150 164  68  36  13   7   3   0],text
[144  90  51  40  29   4   1   0],text
[397 121  60  32   3  16   0   0],text
[150 127  56  38  35   2   1   0],text
[ 15 120 135  20  25   2   1   0],text
[127  90  44  29  31   6   2   0],text
[210  95  64  40  16   3   1   2],text
[33 77 67  8 42  0  0  1],non-text
[293 203  62  23  24   4   0   0],text
[158 119  57  45  27   2   1   1],text
[78 42 21 18 22  7  4  1],text
[180 143  72  51  17   1   2   0],text
[63 16 11 12 18  7  3  3],non-text
[135  61  50  10  30   6   1   2],text
[88 95 50 21 18  6  2  3],text
[154 150  60  45  10   4   4   0],text
[171  68  58  28  15   8   5   0],text
[160 143  53  39  22   6   2   0],text
[225 190  72  33  27   1   0   0],text
[97 64 42 11 21  7  3  2],text
[281  82  59  33  16  11   1   0],text
[207 112  82  23  19   5   3   0],text
[98 42 34 18 28  7  3  1],text
[161 139  51  34  19   7   1   1],text
[387 116  71  28  10  15   0   0],text
[112  50  39  41  35   5   1   1],text
[96 28 18 21 26  8  6  0],non-text
[266  87  65  46  14   7   2   0],text
[133  54  40  23  31   7   2   1],text
[181 156  54  40  20   6   2   0],text
[142  92  41  32  25   6   2   1],text
[168  99  64  27  24   0   4   1],text
[201 113  51  37  11   5   4   1],text
[181 108  90  22  28   1   3   0],text
[145  80  41  22  29   4   3   1],text
[244 122  57  26  38   2   0   0],text
[98 80 38 36 20  4  4  1],text
[12 23 16 47 63  0  0  0],non-text
[106  75  47  18  28   5   4   0],text
[145  73  41  35  21   6   4   0],text
[ 11  36 100  65  26   0   1   0],text
[134 172  48  30  23   4   2   0],text
[ 80 116  43  43  20   3   2   1],text
[103  16  24  23  49   2   1   0],non-text
[180 129  55  43  32   1   0   0],text
[107  57  23  30  27   6   4   1],text
[208 171  58  37  16   8   0   0],text
[143  83  63  34  19   6   3   0],text
[159 105  56  25  22   5   5   0],text
[192 109  86  26  22   6   2   0],text
[141  62  36  23  28   6   2   1],text
[164  64  69  61  24   2   0   0],non-text
[238  86  63  59  27   2   0   0],non-text
[192 114  58  36  17   7   3   0],text
[190 112  90  27  20   5   2   0],text
[172 111  42  32  23   7   1   1],text
[168 153  67  29  16   4   4   0],text
[148  86  50  33  11   5   4   2],text
[222 192  63  31  13   9   1   0],text
[ 3 11 68 50 32  0  0  1],text
[175 119  51  41  14   4   4   1],text
[199 116  62  21  24   4   3   0],text
[166 107  48  33  21   6   1   1],text
[120 100  38  30  22   4   4   1],text
[150  81  42  34  26   8   2   0],text
[177 100  46  17  33   9   1   0],text
[285  84  64  35   8  17   0   0],text
[160 157  60  25  23   7   1   0],text
[283 210  60  36  10   7   1   0],text
[197  80  72  36  31   5   0   0],text
[291 125  84  31  16   9   1   0],text
[191 107  65  43  21   4   2   0],text
[183 106  49  34  27   8   1   0],text
[122 111  71  41  12   8   1   1],text
[184 109  52  33  31   6   0   0],text
[29 14  9  2 20  1  3  3],non-text
[286  80  54  20  20   8   3   0],text
[137  69  35  35  17  14   1   1],text
[19 12 12 47 60  0  0  1],non-text
[227 154  53  45  13  10   0   0],text
[ 83 104  37  34  34   2   4   0],text
[178  82  64  32  14   7   4   0],text
[ 12 100 112  80  10   0   0   1],text
[235 181  73  37  12   2   4   0],text
[274 142  67  33  11   7   3   0],text
