RLBWXYH,class
[218  99  59  44  18   9   2   0],text
[79 82 34 20 17  7  2  2],non-text
[195 198  49  33  28   3   0   0],text
[180 140  55  51   8   4   5   0],text
[111  94  43  35  18   4   0   2],text
[168  90  39  40  36   1   0   0],non-text
[11 51 81 54 30  0  0  1],text
[195 102  62  33  24   7   1   0],text
[153  76  44  25  16   8   4   1],text
[139  69  35  15  24   8   2   1],text
[138  98  56  15  27   6   2   1],text
[152 138  41  19  29   6   1   1],text
[145 112  48  28  28   8   1   0],text
[188 133  96  26  17   6   1   0],text
[123 122  46  27  29   9   0   0],text
[14 86 81 76 21  0  0  1],text
[118  49  46  19  25  10   3   1],text
[123  33  23  22  27   5   6   1],text
[184 102  53  39  27   4   1   0],text
[47 44  2 43 64  0  0  1],non-text
[288 112  68  35  21   8   1   0],text
[107 101  50  20  32   3   1   1],text
[53 11  6 19 78  1  0  1],non-text
[121  81  75  27  29   1   1   1],text
[122  67  47  19  26   7   2   1],text
[184 184  54  29  15   8   2   0],text
[32 19 29 34 53  0  0  1],non-text
[147 115  43  32  21   5   3   1],text
[175 112  81  29  22   6   2   0],text
[99 91 36 15 30  6  1  1],text
[117  94  44  32  22   7   2   1],text
[394 211  57  22  15   8   1   0],text
[119  87  58  43  18   6   1   1],non-text
[132 101  65  26  18   7   4   0],text
[152 143  84  27  19   2   0   2],text
[214 121  95  28  11   4   4   0],text
[88 73 35 26 25  5  1  2],text
[153 103  45  12  27   6   2   1],text
[280 152  27  47  36   3   0   0],text
[164 116  54  26  26   6   3   0],text
[295 137  73  28  26   4   0   0],text
[165 118  56  40  17   5   1   1],text
[172 101  66  31  16   9   1   1],text
[106  83  39  23  15  11   3   1],text
[83 45 24  9 27  7  2  2],text
[184 135  51  30  16   6   5   0],text
[35 98 90 78 20  1  1  0],text
[108 100  61  32  22   4   1   1],text
[189 202  65  39   8   7   3   0],text
[202  91  65  24  22   4   1   2],text
[187 138  54  35  21   6   2   0],text
[155 130  57  32  19   5   3   0],text
[ 24 111  68  65  16   3   1   1],text
[253 174  70  46   9   9   0   0],text
[198 187  68  36  13   5   2   0],text
[185 121  64  41  14   3   2   1],text
[97 22 15 19 27 11  2  2],non-text
[98 78 55 30 31  2  2  1],text
[166 122  51  36  20   9   1   0],text
[169  94  63  34  28   5   2   0],text
[268  93  51  38  19   8   2   0],text
[202 106  72  22  29   4   2   0],text
[195 148  75  40  16   1   4   0],text
[144 133  69  25  31   3   1   1],text
